prod_id,prod_dept,dept_label,prod_class,class_labels,prod_subclass,subclass_labels,subclass_coefficients,prod_base_price,prod_md1,start_date,end_date,md1_week,pareto_weights,margin
53,14,department_14,1,class_141,1,subclass_1411,53,394.0,394.0,0,155,155,1.25941170229584e-07,118.2
54,9,department_9,2,class_92,0,subclass_920,54,273.33,273.33,0,155,155,5.752227437168719e-07,82.0
55,10,department_10,0,class_100,0,subclass_1000,55,269.33,269.33,0,155,155,5.483941938680666e-07,134.66
56,15,department_15,0,class_150,1,subclass_1501,56,452.0,452.0,0,155,155,8.10891038801955e-08,135.6
57,3,department_3,0,class_30,1,subclass_301,57,25.0,25.0,0,155,155,0.0006430681154318777,12.5
58,2,department_2,0,class_20,1,subclass_201,58,18.33,18.33,0,155,155,0.0023552506340950696,9.16
59,0,department_0,0,class_00,0,subclass_000,59,2.29,2.29,0,155,155,0.7627619598752702,1.14
60,9,department_9,1,class_91,0,subclass_910,60,191.33,191.33,0,155,155,1.4911159484648795e-06,95.66
61,4,department_4,0,class_40,0,subclass_400,61,43.71,43.71,0,155,155,0.0001248233959399563,21.86
62,4,department_4,0,class_40,0,subclass_400,62,34.0,34.0,0,155,155,0.00020630352118086804,17.0
63,2,department_2,0,class_20,1,subclass_201,63,18.33,18.33,0,155,155,0.0023552506340950696,5.5
64,12,department_12,0,class_120,0,subclass_1200,64,326.25,326.25,0,155,155,2.34586673458848e-07,97.88
65,3,department_3,0,class_30,0,subclass_300,65,30.0,30.0,0,155,155,0.00044657355297381054,6.0
66,3,department_3,0,class_30,0,subclass_300,66,25.0,25.0,0,155,155,0.0006430681154318777,12.5
67,8,department_8,2,class_82,0,subclass_820,67,162.5,162.5,0,155,155,2.3228983512099594e-06,81.25
68,9,department_9,0,class_90,1,subclass_901,68,191.33,191.33,0,155,155,1.370212685899939e-06,95.66
69,3,department_3,0,class_30,1,subclass_301,69,20.0,20.0,0,155,155,0.001004796741775138,6.0
70,7,department_7,0,class_70,1,subclass_701,70,128.57,128.57,0,155,155,5.1456388769827966e-06,38.57
71,7,department_7,0,class_70,0,subclass_700,71,142.86,142.86,0,155,155,4.166758274706023e-06,42.86
72,2,department_2,0,class_20,0,subclass_200,72,15.0,15.0,0,155,155,0.0035170605533506277,4.5
73,3,department_3,0,class_30,0,subclass_300,73,20.0,20.0,0,155,155,0.001004796741775138,10.0
74,12,department_12,0,class_120,0,subclass_1200,74,543.75,543.75,0,155,155,8.125243940441969e-08,271.88
75,3,department_3,0,class_30,1,subclass_301,75,25.0,25.0,0,155,155,0.0006430681154318777,12.5
76,18,department_18,1,class_181,0,subclass_1810,76,1137.5,1137.5,0,155,155,3.944632075425233e-09,341.25
77,15,department_15,0,class_150,0,subclass_1500,77,813.6,813.6,0,155,155,2.1572047295529598e-08,244.08
78,19,department_19,0,class_190,1,subclass_1901,78,724.0,724.0,0,155,155,1.8516649149669928e-08,217.2
79,17,department_17,0,class_170,1,subclass_1701,79,580.0,580.0,0,155,155,3.6561441023101034e-08,174.0
80,9,department_9,0,class_90,1,subclass_901,80,218.67,218.67,0,155,155,1.0478288810600163e-06,65.6
81,2,department_2,0,class_20,0,subclass_200,81,10.0,10.0,0,155,155,0.007913392492622977,5.0
82,15,department_15,0,class_150,1,subclass_1501,82,542.4,542.4,0,155,155,5.478469047893693e-08,162.72
83,12,department_12,0,class_120,1,subclass_1201,83,362.5,362.5,0,155,155,1.8906557272393962e-07,108.75
84,10,department_10,0,class_100,1,subclass_1001,84,370.33,370.33,0,155,155,2.877033015134199e-07,111.1
85,14,department_14,2,class_142,0,subclass_1420,85,459.67,459.67,0,155,155,8.874173432616975e-08,137.9
86,4,department_4,0,class_40,1,subclass_401,86,63.14,63.14,0,155,155,5.981767860442296e-05,18.94
87,15,department_15,0,class_150,1,subclass_1501,87,632.8,632.8,0,155,155,3.8923958836248535e-08,316.4
88,2,department_2,0,class_20,0,subclass_200,88,13.33,13.33,0,155,155,0.004453507568384692,6.66
89,4,department_4,0,class_40,0,subclass_400,89,43.71,43.71,0,155,155,0.0001248233959399563,21.86
90,17,department_17,1,class_171,1,subclass_1711,90,676.67,676.67,0,155,155,2.431368693176147e-08,338.34
91,2,department_2,0,class_20,0,subclass_200,91,13.33,13.33,0,155,155,0.004453507568384692,4.0
92,2,department_2,0,class_20,0,subclass_200,92,10.0,10.0,0,155,155,0.007913392492622977,5.0
93,8,department_8,0,class_80,0,subclass_800,93,146.25,146.25,0,155,155,3.0167510755837435e-06,73.12
94,2,department_2,0,class_20,0,subclass_200,94,13.33,13.33,0,155,155,0.004453507568384692,4.0
95,14,department_14,2,class_142,1,subclass_1421,95,591.0,591.0,0,155,155,5.170954873214137e-08,177.3
96,8,department_8,0,class_80,0,subclass_800,96,130.0,130.0,0,155,155,3.819403191649274e-06,39.0
97,18,department_18,0,class_180,0,subclass_1800,97,975.0,975.0,0,155,155,7.727213229993667e-09,292.5
98,4,department_4,0,class_40,1,subclass_401,98,34.0,34.0,0,155,155,0.00020630352118086804,6.8
99,12,department_12,0,class_120,0,subclass_1200,99,543.75,543.75,0,155,155,8.125243940441969e-08,108.75
100,4,department_4,0,class_40,0,subclass_400,100,58.29,58.29,0,155,155,7.018688368407341e-05,11.66
101,16,department_16,2,class_162,1,subclass_1621,101,807.71,807.71,0,155,155,1.6496479460892155e-08,242.31
102,9,department_9,0,class_90,0,subclass_900,102,164.0,164.0,0,155,155,1.8667513495282441e-06,82.0
103,2,department_2,0,class_20,0,subclass_200,103,10.0,10.0,0,155,155,0.007913392492622977,3.0
104,3,department_3,0,class_30,0,subclass_300,104,30.0,30.0,0,155,155,0.00044657355297381054,9.0
105,2,department_2,0,class_20,1,subclass_201,105,18.33,18.33,0,155,155,0.0023552506340950696,5.5
106,15,department_15,0,class_150,0,subclass_1500,106,452.0,452.0,0,155,155,8.10891038801955e-08,226.0
107,16,department_16,0,class_160,1,subclass_1601,107,587.43,587.43,0,155,155,3.944899253355675e-08,293.71
108,9,department_9,2,class_92,0,subclass_920,108,300.67,300.67,0,155,155,4.745009365905646e-07,150.34
109,10,department_10,0,class_100,1,subclass_1001,109,202.0,202.0,0,155,155,9.787860454168587e-07,60.6
110,8,department_8,1,class_81,0,subclass_810,110,211.25,211.25,0,155,155,1.4081686145265337e-06,105.62
111,3,department_3,0,class_30,0,subclass_300,111,20.0,20.0,0,155,155,0.001004796741775138,4.0
112,14,department_14,1,class_141,0,subclass_1410,112,459.67,459.67,0,155,155,9.120079365467081e-08,137.9
113,3,department_3,0,class_30,0,subclass_300,113,30.0,30.0,0,155,155,0.00044657355297381054,9.0
114,12,department_12,1,class_121,0,subclass_1210,114,290.0,290.0,0,155,155,3.3275503286080915e-07,58.0
115,14,department_14,0,class_140,1,subclass_1401,115,656.67,656.67,0,155,155,4.175477808344718e-08,328.34
116,0,department_0,0,class_00,0,subclass_000,116,3.43,3.43,0,155,155,0.339994386793811,1.03
117,2,department_2,0,class_20,0,subclass_200,117,13.33,13.33,0,155,155,0.004453507568384692,4.0
118,9,department_9,2,class_92,1,subclass_921,118,300.67,300.67,0,155,155,4.745009365905646e-07,90.2
119,2,department_2,0,class_20,1,subclass_201,119,11.67,11.67,0,155,155,0.005810598869568237,2.33
120,9,department_9,0,class_90,1,subclass_901,120,246.0,246.0,0,155,155,8.26890562428555e-07,73.8
121,8,department_8,1,class_81,1,subclass_811,121,146.25,146.25,0,155,155,2.943460812013451e-06,43.88
122,14,department_14,1,class_141,0,subclass_1410,122,459.67,459.67,0,155,155,9.120079365467081e-08,137.9
123,6,department_6,2,class_62,0,subclass_620,123,74.0,74.0,0,155,155,1.989248553047858e-05,37.0
124,16,department_16,0,class_160,0,subclass_1600,124,881.14,881.14,0,155,155,1.475640573233577e-08,264.34
125,14,department_14,0,class_140,0,subclass_1400,125,788.0,788.0,0,155,155,2.7469516071042706e-08,157.6
126,3,department_3,0,class_30,1,subclass_301,126,20.0,20.0,0,155,155,0.001004796741775138,6.0
127,11,department_11,1,class_111,1,subclass_1111,127,313.71,313.71,0,155,155,2.95163330346528e-07,94.11
128,16,department_16,1,class_161,0,subclass_1610,128,587.43,587.43,0,155,155,3.9916950219260464e-08,293.71
129,19,department_19,1,class_191,0,subclass_1910,129,1086.0,1086.0,0,155,155,3.887385639819308e-09,217.2
130,12,department_12,1,class_121,0,subclass_1210,130,326.25,326.25,0,155,155,2.6186857975088204e-07,97.88
131,2,department_2,0,class_20,0,subclass_200,131,18.33,18.33,0,155,155,0.0023552506340950696,9.16
132,19,department_19,1,class_191,0,subclass_1910,132,1267.0,1267.0,0,155,155,1.5300205871008943e-09,633.5
133,8,department_8,2,class_82,1,subclass_821,133,130.0,130.0,0,155,155,3.63234008659436e-06,39.0
134,16,department_16,2,class_162,0,subclass_1620,134,514.0,514.0,0,155,155,4.807973993725896e-08,102.8
135,6,department_6,1,class_61,1,subclass_611,135,111.0,111.0,0,155,155,8.126267957102445e-06,33.3
136,8,department_8,1,class_81,1,subclass_811,136,178.75,178.75,0,155,155,1.9687636618433194e-06,89.38
137,3,department_3,0,class_30,0,subclass_300,137,20.0,20.0,0,155,155,0.001004796741775138,6.0
138,14,department_14,1,class_141,1,subclass_1411,138,459.67,459.67,0,155,155,9.120079365467081e-08,137.9
139,2,department_2,0,class_20,0,subclass_200,139,18.33,18.33,0,155,155,0.0023552506340950696,5.5
140,3,department_3,0,class_30,0,subclass_300,140,30.0,30.0,0,155,155,0.00044657355297381054,15.0
141,2,department_2,0,class_20,1,subclass_201,141,10.0,10.0,0,155,155,0.007913392492622977,3.0
142,0,department_0,0,class_00,1,subclass_001,142,2.57,2.57,0,155,155,0.6056109838120994,0.77
143,3,department_3,0,class_30,0,subclass_300,143,30.0,30.0,0,155,155,0.00044657355297381054,9.0
144,3,department_3,0,class_30,1,subclass_301,144,20.0,20.0,0,155,155,0.001004796741775138,6.0
145,0,department_0,0,class_00,1,subclass_001,145,2.0,2.0,0,155,155,1.0,0.6
146,2,department_2,0,class_20,1,subclass_201,146,13.33,13.33,0,155,155,0.004453507568384692,4.0
147,2,department_2,0,class_20,1,subclass_201,147,13.33,13.33,0,155,155,0.004453507568384692,4.0
148,4,department_4,0,class_40,1,subclass_401,148,58.29,58.29,0,155,155,7.018688368407341e-05,29.14
149,9,department_9,0,class_90,1,subclass_901,149,328.0,328.0,0,155,155,4.6293928694366383e-07,98.4
150,8,department_8,1,class_81,1,subclass_811,150,178.75,178.75,0,155,155,1.9687636618433194e-06,89.38
151,2,department_2,0,class_20,1,subclass_201,151,13.33,13.33,0,155,155,0.004453507568384692,6.66
152,6,department_6,0,class_60,1,subclass_601,152,148.0,148.0,0,155,155,4.9820517724516796e-06,44.4
153,10,department_10,0,class_100,1,subclass_1001,153,235.67,235.67,0,155,155,7.177616511939164e-07,117.84
154,4,department_4,0,class_40,1,subclass_401,154,34.0,34.0,0,155,155,0.00020630352118086804,10.2
155,12,department_12,1,class_121,0,subclass_1210,155,362.5,362.5,0,155,155,2.1116391682048718e-07,181.25
156,2,department_2,0,class_20,0,subclass_200,156,16.67,16.67,0,155,155,0.0028476789111102027,3.33
157,3,department_3,0,class_30,1,subclass_301,157,20.0,20.0,0,155,155,0.001004796741775138,10.0
158,4,department_4,0,class_40,0,subclass_400,158,38.86,38.86,0,155,155,0.00015792673587322918,11.66
159,9,department_9,0,class_90,1,subclass_901,159,218.67,218.67,0,155,155,1.0478288810600163e-06,109.34
160,2,department_2,0,class_20,0,subclass_200,160,15.0,15.0,0,155,155,0.0035170605533506277,3.0
161,6,department_6,0,class_60,1,subclass_601,161,111.0,111.0,0,155,155,8.860868314442805e-06,33.3
162,3,department_3,0,class_30,1,subclass_301,162,20.0,20.0,0,155,155,0.001004796741775138,10.0
163,10,department_10,0,class_100,1,subclass_1001,163,235.67,235.67,0,155,155,7.177616511939164e-07,47.13
164,6,department_6,1,class_61,0,subclass_610,164,120.25,120.25,0,155,155,6.923417953499835e-06,36.07
165,2,department_2,0,class_20,0,subclass_200,165,10.0,10.0,0,155,155,0.007913392492622977,5.0
166,4,department_4,0,class_40,1,subclass_401,166,34.0,34.0,0,155,155,0.00020630352118086804,17.0
167,9,department_9,2,class_92,1,subclass_921,167,164.0,164.0,0,155,155,1.6066870975467546e-06,32.8
168,3,department_3,0,class_30,1,subclass_301,168,25.0,25.0,0,155,155,0.0006430681154318777,7.5
169,8,department_8,1,class_81,1,subclass_811,169,162.5,162.5,0,155,155,2.383253624953167e-06,48.75
170,5,department_5,0,class_50,0,subclass_500,170,96.57,96.57,0,155,155,1.1555384544092231e-05,19.31
171,6,department_6,1,class_61,0,subclass_610,171,111.0,111.0,0,155,155,8.126267957102445e-06,33.3
172,19,department_19,0,class_190,0,subclass_1900,172,724.0,724.0,0,155,155,1.8516649149669928e-08,362.0
173,8,department_8,0,class_80,0,subclass_800,173,146.25,146.25,0,155,155,3.0167510755837435e-06,29.25
174,0,department_0,0,class_00,0,subclass_000,174,2.0,2.0,0,155,155,1.0,0.4
175,8,department_8,0,class_80,1,subclass_801,175,130.0,130.0,0,155,155,3.819403191649274e-06,65.0
176,14,department_14,1,class_141,0,subclass_1410,176,459.67,459.67,0,155,155,9.120079365467081e-08,229.84
177,14,department_14,2,class_142,0,subclass_1420,177,394.0,394.0,0,155,155,1.2259406871131341e-07,118.2
178,9,department_9,0,class_90,1,subclass_901,178,164.0,164.0,0,155,155,1.8667513495282441e-06,82.0
179,4,department_4,0,class_40,0,subclass_400,179,34.0,34.0,0,155,155,0.00020630352118086804,17.0
180,6,department_6,2,class_62,1,subclass_621,180,101.75,101.75,0,155,155,1.0519290777829014e-05,50.88
181,4,department_4,0,class_40,0,subclass_400,181,43.71,43.71,0,155,155,0.0001248233959399563,13.11
182,3,department_3,0,class_30,0,subclass_300,182,30.0,30.0,0,155,155,0.00044657355297381054,9.0
183,2,department_2,0,class_20,1,subclass_201,183,15.0,15.0,0,155,155,0.0035170605533506277,7.5
184,6,department_6,0,class_60,1,subclass_601,184,83.25,83.25,0,155,155,1.575654216687147e-05,24.98
185,2,department_2,0,class_20,0,subclass_200,185,10.0,10.0,0,155,155,0.007913392492622977,5.0
186,9,department_9,1,class_91,1,subclass_911,186,164.0,164.0,0,155,155,2.0313083897303493e-06,82.0
187,2,department_2,0,class_20,1,subclass_201,187,10.0,10.0,0,155,155,0.007913392492622977,3.0
188,10,department_10,0,class_100,0,subclass_1000,188,202.0,202.0,0,155,155,9.787860454168587e-07,60.6
189,4,department_4,0,class_40,0,subclass_400,189,43.71,43.71,0,155,155,0.0001248233959399563,13.11
190,3,department_3,0,class_30,0,subclass_300,190,20.0,20.0,0,155,155,0.001004796741775138,6.0
191,4,department_4,0,class_40,1,subclass_401,191,38.86,38.86,0,155,155,0.00015792673587322918,19.43
192,3,department_3,0,class_30,0,subclass_300,192,30.0,30.0,0,155,155,0.00044657355297381054,9.0
193,12,department_12,1,class_121,0,subclass_1210,193,435.0,435.0,0,155,155,1.451144216874728e-07,130.5
194,8,department_8,2,class_82,0,subclass_820,194,178.75,178.75,0,155,155,1.918883270320007e-06,89.38
195,14,department_14,0,class_140,1,subclass_1401,195,459.67,459.67,0,155,155,9.041548767878937e-08,229.84
196,2,department_2,0,class_20,1,subclass_201,196,15.0,15.0,0,155,155,0.0035170605533506277,4.5
197,14,department_14,0,class_140,1,subclass_1401,197,525.33,525.33,0,155,155,6.805492228929537e-08,262.67
198,3,department_3,0,class_30,1,subclass_301,198,30.0,30.0,0,155,155,0.00044657355297381054,15.0
199,6,department_6,0,class_60,1,subclass_601,199,111.0,111.0,0,155,155,8.860868314442805e-06,33.3
200,8,department_8,2,class_82,0,subclass_820,200,178.75,178.75,0,155,155,1.918883270320007e-06,89.38
201,2,department_2,0,class_20,1,subclass_201,201,13.33,13.33,0,155,155,0.004453507568384692,4.0
202,10,department_10,0,class_100,0,subclass_1000,202,370.33,370.33,0,155,155,2.877033015134199e-07,111.1
203,4,department_4,0,class_40,1,subclass_401,203,38.86,38.86,0,155,155,0.00015792673587322918,19.43
204,14,department_14,1,class_141,1,subclass_1411,204,591.0,591.0,0,155,155,5.319714940692831e-08,295.5
205,2,department_2,0,class_20,1,subclass_201,205,11.67,11.67,0,155,155,0.005810598869568237,5.84
206,12,department_12,0,class_120,1,subclass_1201,206,326.25,326.25,0,155,155,2.34586673458848e-07,163.12
207,8,department_8,0,class_80,0,subclass_800,207,130.0,130.0,0,155,155,3.819403191649274e-06,65.0
208,9,department_9,1,class_91,0,subclass_910,208,191.33,191.33,0,155,155,1.4911159484648795e-06,95.66
209,0,department_0,0,class_00,1,subclass_001,209,2.86,2.86,0,155,155,0.4890214654885421,0.86
210,2,department_2,0,class_20,1,subclass_201,210,16.67,16.67,0,155,155,0.0028476789111102027,3.33
211,2,department_2,0,class_20,0,subclass_200,211,10.0,10.0,0,155,155,0.007913392492622977,3.0
212,9,department_9,1,class_91,1,subclass_911,212,218.67,218.67,0,155,155,1.1403893941853278e-06,109.34
213,10,department_10,0,class_100,1,subclass_1001,213,303.0,303.0,0,155,155,4.322393161568282e-07,90.9
214,12,department_12,1,class_121,1,subclass_1211,214,543.75,543.75,0,155,155,9.107392566955193e-08,271.88
215,14,department_14,2,class_142,1,subclass_1421,215,525.33,525.33,0,155,155,6.677342003050199e-08,105.07
216,15,department_15,0,class_150,0,subclass_1500,216,813.6,813.6,0,155,155,2.1572047295529598e-08,406.8
217,15,department_15,0,class_150,1,subclass_1501,217,452.0,452.0,0,155,155,8.10891038801955e-08,135.6
218,3,department_3,0,class_30,0,subclass_300,218,25.0,25.0,0,155,155,0.0006430681154318777,12.5
219,3,department_3,0,class_30,1,subclass_301,219,25.0,25.0,0,155,155,0.0006430681154318777,7.5
220,15,department_15,0,class_150,0,subclass_1500,220,542.4,542.4,0,155,155,5.478469047893693e-08,162.72
221,2,department_2,0,class_20,0,subclass_200,221,15.0,15.0,0,155,155,0.0035170605533506277,7.5
222,2,department_2,0,class_20,0,subclass_200,222,15.0,15.0,0,155,155,0.0035170605533506277,7.5
223,1,department_1,0,class_10,0,subclass_100,223,5.0,5.0,0,155,155,0.08947585751810468,1.5
224,6,department_6,1,class_61,1,subclass_611,224,83.25,83.25,0,155,155,1.4450585976044162e-05,41.62
225,3,department_3,0,class_30,1,subclass_301,225,30.0,30.0,0,155,155,0.00044657355297381054,15.0
226,2,department_2,0,class_20,1,subclass_201,226,13.33,13.33,0,155,155,0.004453507568384692,6.66
227,2,department_2,0,class_20,0,subclass_200,227,11.67,11.67,0,155,155,0.005810598869568237,5.84
228,0,department_0,0,class_00,1,subclass_001,228,3.71,3.71,0,155,155,0.2906110789080559,1.11
229,16,department_16,2,class_162,0,subclass_1620,229,881.14,881.14,0,155,155,1.306324815717185e-08,440.57
230,3,department_3,0,class_30,0,subclass_300,230,25.0,25.0,0,155,155,0.0006430681154318777,5.0
231,17,department_17,1,class_171,0,subclass_1710,231,676.67,676.67,0,155,155,2.431368693176147e-08,338.34
232,9,department_9,0,class_90,1,subclass_901,232,218.67,218.67,0,155,155,1.0478288810600163e-06,43.73
233,7,department_7,0,class_70,1,subclass_701,233,128.57,128.57,0,155,155,5.1456388769827966e-06,64.28
234,0,department_0,0,class_00,0,subclass_000,234,2.0,2.0,0,155,155,1.0,1.0
235,0,department_0,0,class_00,0,subclass_000,235,3.14,3.14,0,155,155,0.4056959684686321,0.94
236,8,department_8,0,class_80,0,subclass_800,236,130.0,130.0,0,155,155,3.819403191649274e-06,39.0
237,14,department_14,2,class_142,0,subclass_1420,237,525.33,525.33,0,155,155,6.677342003050199e-08,262.67
238,14,department_14,2,class_142,1,subclass_1421,238,394.0,394.0,0,155,155,1.2259406871131341e-07,118.2
239,2,department_2,0,class_20,1,subclass_201,239,16.67,16.67,0,155,155,0.0028476789111102027,8.34
240,2,department_2,0,class_20,1,subclass_201,240,11.67,11.67,0,155,155,0.005810598869568237,5.84
241,3,department_3,0,class_30,1,subclass_301,241,20.0,20.0,0,155,155,0.001004796741775138,10.0
242,2,department_2,0,class_20,0,subclass_200,242,13.33,13.33,0,155,155,0.004453507568384692,2.67
243,2,department_2,0,class_20,1,subclass_201,243,15.0,15.0,0,155,155,0.0035170605533506277,4.5
244,8,department_8,2,class_82,1,subclass_821,244,178.75,178.75,0,155,155,1.918883270320007e-06,89.38
245,12,department_12,1,class_121,1,subclass_1211,245,326.25,326.25,0,155,155,2.6186857975088204e-07,163.12
246,10,department_10,0,class_100,0,subclass_1000,246,202.0,202.0,0,155,155,9.787860454168587e-07,101.0
247,2,department_2,0,class_20,0,subclass_200,247,13.33,13.33,0,155,155,0.004453507568384692,4.0
248,16,department_16,0,class_160,1,subclass_1601,248,734.29,734.29,0,155,155,2.3447857313257067e-08,367.14
249,12,department_12,1,class_121,0,subclass_1210,249,471.25,471.25,0,155,155,1.2290843219950398e-07,141.38
250,10,department_10,0,class_100,0,subclass_1000,250,269.33,269.33,0,155,155,5.483941938680666e-07,80.8
251,12,department_12,1,class_121,0,subclass_1210,251,398.75,398.75,0,155,155,1.736482005766413e-07,199.38
252,3,department_3,0,class_30,1,subclass_301,252,20.0,20.0,0,155,155,0.001004796741775138,6.0
253,9,department_9,0,class_90,0,subclass_900,253,191.33,191.33,0,155,155,1.370212685899939e-06,95.66
254,18,department_18,1,class_181,1,subclass_1811,254,975.0,975.0,0,155,155,7.173940165594105e-09,292.5
255,19,department_19,1,class_191,1,subclass_1911,255,1267.0,1267.0,0,155,155,1.5300205871008943e-09,380.1
256,0,department_0,0,class_00,0,subclass_000,256,2.86,2.86,0,155,155,0.4890214654885421,0.86
257,12,department_12,0,class_120,0,subclass_1200,257,326.25,326.25,0,155,155,2.34586673458848e-07,65.25
258,2,department_2,0,class_20,1,subclass_201,258,11.67,11.67,0,155,155,0.005810598869568237,3.5
259,10,department_10,0,class_100,0,subclass_1000,259,235.67,235.67,0,155,155,7.177616511939164e-07,117.84
260,15,department_15,0,class_150,1,subclass_1501,260,542.4,542.4,0,155,155,5.478469047893693e-08,162.72
