,promo_id,promo_cat,promo_discount,start_date,end_date,promo_prods,promo_stores,BX
15,15,2,0.1,67,68,183,63,0
15,15,4,0.06,67,68,50,45,0
15,15,1,0.25,67,68,480,70,0
15,15,1,0.25,67,68,478,3,0
15,15,0,0.5,67,68,24,5,0
15,15,4,0.37,67,68,474,43,0
16,16,2,0.1,130,131,699,48,0
16,16,1,0.25,130,131,656,37,0
16,16,0,0.5,130,131,347,8,0
16,16,3,0.25,130,131,596,1,3
16,16,4,0.18,130,131,261,5,0
16,16,4,0.14,130,131,381,90,0
16,16,1,0.25,130,131,334,60,0
17,17,1,0.25,146,147,481,37,0
17,17,0,0.5,146,147,65,46,0
17,17,1,0.25,146,147,592,34,0
17,17,2,0.1,146,147,577,99,0
17,17,3,0.33,146,147,513,1,2
17,17,1,0.25,146,147,107,64,0
17,17,3,0.33,146,147,94,45,2
17,17,2,0.1,146,147,440,72,0
18,18,0,0.5,91,92,284,95,0
18,18,3,0.33,91,92,115,5,2
18,18,3,0.5,91,92,372,21,1
18,18,4,0.19,91,92,406,2,0
18,18,1,0.25,91,92,292,72,0
18,18,1,0.25,91,92,506,61,0
18,18,2,0.1,91,92,649,6,0
18,18,0,0.5,91,92,655,47,0
18,18,1,0.25,91,92,427,41,0
18,18,2,0.1,91,92,463,25,0
18,18,1,0.25,91,92,386,33,0
18,18,2,0.1,91,92,486,19,0
18,18,2,0.1,91,92,455,22,0
18,18,2,0.1,91,92,605,55,0
18,18,1,0.25,91,92,265,62,0
18,18,4,0.17,91,92,177,99,0
18,18,2,0.1,91,92,11,75,0
18,18,2,0.1,91,92,34,50,0
18,18,2,0.1,91,92,306,45,0
18,18,2,0.1,91,92,631,80,0
18,18,2,0.1,91,92,96,57,0
19,19,1,0.25,98,99,207,51,0
19,19,2,0.1,98,99,114,25,0
19,19,3,0.33,98,99,167,39,2
19,19,4,0.02,98,99,74,68,0
19,19,3,0.25,98,99,392,85,3
19,19,4,0.13,98,99,178,24,0
19,19,2,0.1,98,99,619,6,0
19,19,2,0.1,98,99,602,70,0
19,19,1,0.25,98,99,206,3,0
19,19,1,0.25,98,99,464,14,0
19,19,1,0.25,98,99,394,98,0
19,19,2,0.1,98,99,684,38,0
19,19,0,0.5,98,99,610,13,0
19,19,0,0.5,98,99,484,73,0
19,19,1,0.25,98,99,360,4,0
19,19,2,0.1,98,99,162,88,0
19,19,2,0.1,98,99,594,17,0
19,19,2,0.1,98,99,158,87,0
19,19,1,0.25,98,99,420,82,0
19,19,4,0.02,98,99,546,79,0
19,19,1,0.25,98,99,174,36,0
19,19,2,0.1,98,99,163,64,0
19,19,3,0.33,98,99,449,16,2
20,20,2,0.1,80,81,629,87,0
20,20,4,0.14,80,81,381,80,0
20,20,2,0.1,80,81,200,85,0
20,20,1,0.25,80,81,91,16,0
20,20,2,0.1,80,81,656,50,0
20,20,1,0.25,80,81,566,84,0
20,20,4,0.04,80,81,587,15,0
20,20,1,0.25,80,81,392,37,0
20,20,3,0.33,80,81,517,78,2
20,20,4,0.33,80,81,576,8,0
20,20,2,0.1,80,81,444,69,0
20,20,4,0.31,80,81,19,12,0
20,20,2,0.1,80,81,610,19,0
20,20,3,0.33,80,81,173,93,2
20,20,3,0.25,80,81,528,58,3
20,20,4,0.08,80,81,468,4,0
20,20,2,0.1,80,81,473,77,0
20,20,3,0.25,80,81,78,26,3
20,20,2,0.1,80,81,697,21,0
20,20,3,0.25,80,81,435,39,3
20,20,2,0.1,80,81,657,31,0
20,20,1,0.25,80,81,453,43,0
20,20,2,0.1,80,81,226,47,0
20,20,4,0.02,80,81,310,35,0
20,20,0,0.5,80,81,156,70,0
20,20,2,0.1,80,81,452,81,0
21,21,3,0.25,32,33,687,21,3
21,21,1,0.25,32,33,382,48,0
21,21,2,0.1,32,33,182,14,0
21,21,4,0.32,32,33,384,55,0
21,21,2,0.1,32,33,482,71,0
21,21,2,0.1,32,33,73,59,0
22,22,2,0.1,1,2,433,3,0
22,22,1,0.25,1,2,103,18,0
22,22,0,0.5,1,2,444,79,0
22,22,2,0.1,1,2,300,19,0
22,22,2,0.1,1,2,67,43,0
22,22,2,0.1,1,2,251,24,0
22,22,2,0.1,1,2,169,88,0
22,22,2,0.1,1,2,68,86,0
22,22,0,0.5,1,2,306,77,0
22,22,0,0.5,1,2,301,30,0
22,22,1,0.25,1,2,266,85,0
22,22,2,0.1,1,2,221,29,0
22,22,2,0.1,1,2,555,2,0
22,22,2,0.1,1,2,585,90,0
22,22,2,0.1,1,2,381,96,0
22,22,1,0.25,1,2,413,1,0
22,22,2,0.1,1,2,647,25,0
22,22,2,0.1,1,2,344,84,0
22,22,0,0.5,1,2,29,22,0
22,22,1,0.25,1,2,452,15,0
22,22,0,0.5,1,2,692,32,0
22,22,3,0.25,1,2,410,16,3
22,22,2,0.1,1,2,482,68,0
22,22,2,0.1,1,2,52,53,0
22,22,1,0.25,1,2,256,62,0
22,22,1,0.25,1,2,541,31,0
22,22,2,0.1,1,2,91,73,0
23,23,4,0.02,43,44,546,76,0
23,23,0,0.5,43,44,619,7,0
23,23,2,0.1,43,44,367,51,0
23,23,1,0.25,43,44,590,43,0
23,23,0,0.5,43,44,93,9,0
23,23,2,0.1,43,44,292,56,0
23,23,2,0.1,43,44,669,0,0
23,23,3,0.25,43,44,440,44,3
23,23,1,0.25,43,44,656,73,0
23,23,2,0.1,43,44,679,83,0
23,23,1,0.25,43,44,651,37,0
23,23,2,0.1,43,44,446,46,0
23,23,1,0.25,43,44,662,80,0
23,23,1,0.25,43,44,600,74,0
23,23,2,0.1,43,44,92,81,0
23,23,1,0.25,43,44,371,55,0
23,23,3,0.33,43,44,392,96,2
23,23,2,0.1,43,44,343,39,0
23,23,2,0.1,43,44,655,84,0
23,23,1,0.25,43,44,137,93,0
23,23,1,0.25,43,44,291,3,0
23,23,2,0.1,43,44,557,65,0
23,23,2,0.1,43,44,586,64,0
23,23,4,0.22,43,44,20,12,0
23,23,1,0.25,43,44,76,20,0
23,23,0,0.5,43,44,691,75,0
23,23,2,0.1,43,44,481,11,0
23,23,0,0.5,43,44,234,23,0
24,24,2,0.1,18,19,441,28,0
24,24,2,0.1,18,19,548,1,0
24,24,2,0.1,18,19,222,31,0
25,25,1,0.25,62,63,540,35,0
25,25,2,0.1,62,63,441,76,0
25,25,3,0.25,62,63,14,78,3
25,25,1,0.25,62,63,664,95,0
25,25,2,0.1,62,63,643,62,0
25,25,1,0.25,62,63,586,29,0
25,25,3,0.25,62,63,167,41,3
25,25,2,0.1,62,63,229,67,0
25,25,4,0.06,62,63,50,26,0
25,25,4,0.18,62,63,363,5,0
25,25,4,0.13,62,63,30,94,0
25,25,4,0.1,62,63,64,28,0
25,25,2,0.1,62,63,636,81,0
25,25,2,0.1,62,63,298,79,0
25,25,2,0.1,62,63,453,44,0
25,25,2,0.1,62,63,59,45,0
25,25,2,0.1,62,63,284,10,0
25,25,2,0.1,62,63,287,83,0
25,25,2,0.1,62,63,565,92,0
26,26,0,0.5,87,88,672,32,0
26,26,1,0.25,87,88,49,65,0
26,26,2,0.1,87,88,478,90,0
26,26,1,0.25,87,88,378,77,0
26,26,2,0.1,87,88,320,75,0
26,26,0,0.5,87,88,521,70,0
26,26,1,0.25,87,88,355,23,0
27,27,2,0.1,116,117,415,53,0
27,27,0,0.5,116,117,179,40,0
27,27,1,0.25,116,117,530,95,0
27,27,1,0.25,116,117,460,41,0
27,27,2,0.1,116,117,259,16,0
27,27,2,0.1,116,117,525,90,0
27,27,1,0.25,116,117,43,15,0
27,27,3,0.33,116,117,122,94,2
27,27,3,0.25,116,117,636,60,3
27,27,2,0.1,116,117,243,61,0
27,27,1,0.25,116,117,383,78,0
28,28,2,0.1,9,10,287,5,0
28,28,1,0.25,9,10,599,95,0
28,28,2,0.1,9,10,170,61,0
28,28,1,0.25,9,10,17,29,0
28,28,4,0.06,9,10,149,71,0
28,28,4,0.08,9,10,317,25,0
28,28,2,0.1,9,10,208,62,0
28,28,0,0.5,9,10,637,36,0
28,28,2,0.1,9,10,0,72,0
28,28,3,0.25,9,10,623,48,3
28,28,2,0.1,9,10,694,7,0
28,28,4,0.5,9,10,640,39,0
28,28,2,0.1,9,10,172,0,0
28,28,1,0.25,9,10,220,76,0
28,28,0,0.5,9,10,598,34,0
28,28,2,0.1,9,10,380,99,0
28,28,2,0.1,9,10,614,15,0
28,28,2,0.1,9,10,255,78,0
28,28,3,0.25,9,10,635,80,3
28,28,2,0.1,9,10,506,27,0
29,29,2,0.1,66,67,421,94,0
29,29,2,0.1,66,67,297,48,0
29,29,2,0.1,66,67,509,14,0
29,29,2,0.1,66,67,91,56,0
29,29,2,0.1,66,67,542,54,0
29,29,1,0.25,66,67,303,6,0
29,29,2,0.1,66,67,575,8,0
29,29,2,0.1,66,67,541,22,0
29,29,2,0.1,66,67,655,95,0
29,29,1,0.25,66,67,58,35,0
29,29,2,0.1,66,67,262,79,0
29,29,2,0.1,66,67,118,39,0
29,29,3,0.25,66,67,261,7,3
29,29,0,0.5,66,67,337,84,0
29,29,2,0.1,66,67,616,51,0
29,29,2,0.1,66,67,176,2,0
29,29,0,0.5,66,67,662,40,0
29,29,2,0.1,66,67,346,20,0
29,29,1,0.25,66,67,145,31,0
29,29,2,0.1,66,67,577,46,0
29,29,2,0.1,66,67,688,64,0
29,29,1,0.25,66,67,202,21,0
29,29,1,0.25,66,67,39,32,0
29,29,2,0.1,66,67,464,76,0
29,29,0,0.5,66,67,642,72,0
29,29,0,0.5,66,67,438,57,0
29,29,2,0.1,66,67,351,30,0
29,29,2,0.1,66,67,100,83,0
30,30,2,0.1,87,88,258,82,0
30,30,1,0.25,87,88,175,39,0
30,30,1,0.25,87,88,112,31,0
30,30,1,0.25,87,88,235,87,0
30,30,2,0.1,87,88,528,91,0
30,30,2,0.1,87,88,459,70,0
30,30,0,0.5,87,88,68,52,0
30,30,0,0.5,87,88,555,57,0
30,30,0,0.5,87,88,600,9,0
30,30,2,0.1,87,88,544,26,0
30,30,3,0.33,87,88,223,0,2
30,30,4,0.29,87,88,219,92,0
30,30,1,0.25,87,88,366,62,0
30,30,4,0.09,87,88,21,18,0
30,30,1,0.25,87,88,88,16,0
30,30,1,0.25,87,88,592,73,0
31,31,2,0.1,71,72,606,41,0
31,31,4,0.34,71,72,176,86,0
31,31,2,0.1,71,72,625,1,0
31,31,2,0.1,71,72,569,89,0
31,31,2,0.1,71,72,444,11,0
31,31,2,0.1,71,72,97,54,0
31,31,0,0.5,71,72,309,76,0
31,31,2,0.1,71,72,431,53,0
31,31,2,0.1,71,72,564,67,0
31,31,2,0.1,71,72,440,73,0
32,32,2,0.1,85,86,214,63,0
32,32,2,0.1,85,86,220,82,0
32,32,2,0.1,85,86,412,36,0
32,32,1,0.25,85,86,38,86,0
32,32,2,0.1,85,86,372,67,0
32,32,2,0.1,85,86,613,70,0
32,32,0,0.5,85,86,681,6,0
32,32,1,0.25,85,86,655,1,0
32,32,2,0.1,85,86,91,43,0
33,33,1,0.25,28,29,244,74,0
33,33,1,0.25,28,29,228,12,0
34,34,2,0.1,118,119,64,16,0
34,34,2,0.1,118,119,522,12,0
34,34,1,0.25,118,119,455,4,0
34,34,2,0.1,118,119,509,98,0
34,34,2,0.1,118,119,432,75,0
34,34,2,0.1,118,119,375,70,0
34,34,1,0.25,118,119,462,73,0
34,34,1,0.25,118,119,454,72,0
34,34,1,0.25,118,119,233,52,0
34,34,2,0.1,118,119,281,58,0
34,34,2,0.1,118,119,502,37,0
34,34,3,0.33,118,119,261,39,2
34,34,0,0.5,118,119,298,1,0
34,34,1,0.25,118,119,543,18,0
34,34,1,0.25,118,119,34,79,0
34,34,1,0.25,118,119,235,59,0
34,34,2,0.1,118,119,303,93,0
34,34,1,0.25,118,119,692,34,0
34,34,1,0.25,118,119,622,47,0
34,34,1,0.25,118,119,153,91,0
34,34,2,0.1,118,119,425,90,0
34,34,1,0.25,118,119,604,43,0
34,34,3,0.33,118,119,27,64,2
34,34,1,0.25,118,119,527,50,0
35,35,2,0.1,71,72,388,19,0
35,35,2,0.1,71,72,220,91,0
35,35,2,0.1,71,72,595,72,0
35,35,1,0.25,71,72,696,22,0
35,35,2,0.1,71,72,380,86,0
35,35,4,0.02,71,72,546,39,0
35,35,1,0.25,71,72,675,59,0
35,35,3,0.25,71,72,144,46,3
35,35,2,0.1,71,72,485,28,0
35,35,4,0.36,71,72,368,10,0
35,35,0,0.5,71,72,70,97,0
35,35,2,0.1,71,72,118,52,0
35,35,2,0.1,71,72,65,83,0
35,35,2,0.1,71,72,125,17,0
35,35,2,0.1,71,72,28,6,0
35,35,4,0.16,71,72,674,78,0
35,35,1,0.25,71,72,0,80,0
35,35,2,0.1,71,72,163,57,0
35,35,2,0.1,71,72,4,8,0
35,35,4,0.07,71,72,538,76,0
35,35,4,0.05,71,72,108,51,0
35,35,0,0.5,71,72,612,9,0
35,35,2,0.1,71,72,366,30,0
35,35,3,0.25,71,72,55,55,3
35,35,2,0.1,71,72,11,36,0
35,35,2,0.1,71,72,659,70,0
35,35,1,0.25,71,72,672,15,0
35,35,4,0.28,71,72,40,37,0
35,35,2,0.1,71,72,401,90,0
36,36,1,0.25,101,102,451,72,0
36,36,4,0.28,101,102,40,37,0
36,36,3,0.25,101,102,498,61,3
36,36,1,0.25,101,102,354,91,0
36,36,1,0.25,101,102,342,18,0
36,36,2,0.1,101,102,650,28,0
36,36,4,0.04,101,102,365,78,0
36,36,1,0.25,101,102,623,24,0
36,36,2,0.1,101,102,189,23,0
36,36,4,0.25,101,102,143,59,0
36,36,0,0.5,101,102,313,42,0
36,36,2,0.1,101,102,163,55,0
36,36,4,0.21,101,102,67,71,0
37,37,3,0.25,101,102,168,41,3
37,37,1,0.25,101,102,96,7,0
37,37,1,0.25,101,102,454,72,0
37,37,4,0.0,101,102,195,90,0
37,37,1,0.25,101,102,444,5,0
37,37,2,0.1,101,102,596,86,0
37,37,1,0.25,101,102,248,63,0
37,37,2,0.1,101,102,631,52,0
37,37,2,0.1,101,102,367,47,0
37,37,2,0.1,101,102,530,85,0
37,37,3,0.25,101,102,306,68,3
37,37,1,0.25,101,102,18,38,0
37,37,2,0.1,101,102,483,14,0
37,37,2,0.1,101,102,443,12,0
37,37,2,0.1,101,102,197,81,0
37,37,1,0.25,101,102,107,71,0
37,37,1,0.25,101,102,519,77,0
37,37,2,0.1,101,102,234,84,0
37,37,4,0.26,101,102,87,87,0
37,37,2,0.1,101,102,148,0,0
37,37,2,0.1,101,102,621,93,0
37,37,0,0.5,101,102,633,79,0
37,37,1,0.25,101,102,144,25,0
37,37,3,0.33,101,102,671,8,2
37,37,4,0.07,101,102,538,91,0
37,37,1,0.25,101,102,547,88,0
37,37,3,0.25,101,102,117,94,3
37,37,0,0.5,101,102,190,48,0
37,37,2,0.1,101,102,460,15,0
38,38,2,0.1,131,132,542,77,0
38,38,1,0.25,131,132,697,59,0
38,38,2,0.1,131,132,320,81,0
38,38,1,0.25,131,132,491,54,0
38,38,3,0.33,131,132,573,47,2
38,38,1,0.25,131,132,85,31,0
38,38,2,0.1,131,132,561,73,0
38,38,2,0.1,131,132,518,7,0
38,38,2,0.1,131,132,424,39,0
38,38,1,0.25,131,132,61,45,0
38,38,2,0.1,131,132,186,91,0
38,38,2,0.1,131,132,235,11,0
38,38,3,0.25,131,132,359,5,3
38,38,2,0.1,131,132,479,51,0
38,38,1,0.25,131,132,317,61,0
38,38,2,0.1,131,132,174,76,0
38,38,3,0.5,131,132,0,26,1
38,38,2,0.1,131,132,236,29,0
38,38,1,0.25,131,132,50,88,0
38,38,1,0.25,131,132,149,34,0
38,38,2,0.1,131,132,166,60,0
38,38,1,0.25,131,132,213,83,0
39,39,0,0.5,33,34,325,6,0
39,39,2,0.1,33,34,268,72,0
39,39,2,0.1,33,34,670,42,0
39,39,1,0.25,33,34,270,90,0
39,39,2,0.1,33,34,46,59,0
39,39,1,0.25,33,34,395,35,0
39,39,2,0.1,33,34,18,10,0
39,39,2,0.1,33,34,346,38,0
39,39,2,0.1,33,34,500,64,0
39,39,2,0.1,33,34,41,81,0
39,39,1,0.25,33,34,101,66,0
39,39,2,0.1,33,34,227,96,0
39,39,1,0.25,33,34,568,7,0
40,40,3,0.25,61,62,642,45,3
40,40,0,0.5,61,62,218,98,0
40,40,1,0.25,61,62,441,84,0
40,40,0,0.5,61,62,0,90,0
40,40,3,0.33,61,62,309,31,2
40,40,1,0.25,61,62,364,17,0
40,40,2,0.1,61,62,437,26,0
40,40,2,0.1,61,62,496,65,0
40,40,2,0.1,61,62,543,53,0
40,40,3,0.33,61,62,699,97,2
41,41,4,0.28,52,53,689,62,0
41,41,2,0.1,52,53,656,98,0
41,41,4,0.2,52,53,413,54,0
42,42,1,0.25,150,151,100,76,0
42,42,1,0.25,150,151,86,17,0
42,42,1,0.25,150,151,126,87,0
43,43,3,0.25,68,69,610,86,3
43,43,1,0.25,68,69,624,90,0
43,43,2,0.1,68,69,689,27,0
43,43,1,0.25,68,69,540,11,0
43,43,1,0.25,68,69,414,36,0
43,43,1,0.25,68,69,16,19,0
43,43,2,0.1,68,69,347,84,0
43,43,3,0.25,68,69,477,45,3
43,43,2,0.1,68,69,321,22,0
43,43,1,0.25,68,69,361,69,0
43,43,1,0.25,68,69,518,70,0
43,43,1,0.25,68,69,216,53,0
43,43,2,0.1,68,69,608,4,0
43,43,3,0.33,68,69,498,32,2
43,43,0,0.5,68,69,532,82,0
43,43,2,0.1,68,69,543,55,0
43,43,2,0.1,68,69,267,97,0
43,43,2,0.1,68,69,531,7,0
43,43,2,0.1,68,69,424,41,0
43,43,3,0.33,68,69,214,94,2
43,43,2,0.1,68,69,575,43,0
43,43,1,0.25,68,69,426,77,0
43,43,2,0.1,68,69,36,47,0
43,43,3,0.5,68,69,442,34,1
43,43,1,0.25,68,69,174,85,0
43,43,3,0.25,68,69,699,6,3
43,43,1,0.25,68,69,571,46,0
43,43,2,0.1,68,69,11,93,0
43,43,2,0.1,68,69,698,95,0
44,44,2,0.1,19,20,37,80,0
44,44,3,0.33,19,20,126,6,2
44,44,0,0.5,19,20,419,53,0
44,44,1,0.25,19,20,352,34,0
44,44,2,0.1,19,20,629,39,0
44,44,3,0.25,19,20,69,27,3
44,44,1,0.25,19,20,372,45,0
